Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
AAPL,Apple Inc,"1,026,543","578,162","1,604,705",20,"80,235","51,327","28,908",,
FB,Facebook Inc,"980,365","467,724","1,448,089",20,"72,404","49,018","23,386",,
BAC,Bank of America Corp,"835,186","291,464","1,126,650",20,"56,333","41,759","14,573",,
AMD,Advanced Micro Devices Inc,"601,292","317,254","918,546",20,"45,927","30,065","15,863",,
TSLA,Tesla Inc,"388,882","367,743","756,625",20,"37,831","19,444","18,387",,
MSFT,Microsoft Corp,"408,934","218,395","627,329",20,"31,366","20,447","10,920",,
NFLX,Netflix Inc,"339,572","281,601","621,173",20,"31,059","16,979","14,080",,
NVDA,NVIDIA Corp,"359,351","245,061","604,412",20,"30,221","17,968","12,253",,
AMZN,Amazon.com Inc,"307,327","279,181","586,508",20,"29,325","15,366","13,959",,
MU,Micron Technology Inc,"409,097","141,836","550,933",20,"27,547","20,455","7,092",,
BABA,Alibaba Group Holding Ltd,"371,924","178,590","550,514",20,"27,526","18,596","8,930",,
T,AT&T Inc,"219,746","190,183","409,929",20,"20,496","10,987","9,509",,
X,United States Steel Corp,"249,877","134,722","384,599",20,"19,230","12,494","6,736",,
GE,General Electric Co,"226,579","143,822","370,401",20,"18,520","11,329","7,191",,
C,Citigroup Inc,"226,820","98,165","324,985",20,"16,249","11,341","4,908",,
TWTR,Twitter Inc,"230,498","91,303","321,801",20,"16,090","11,525","4,565",,
JPM,JPMorgan Chase & Co,"210,500","110,509","321,009",20,"16,050","10,525","5,525",,
SNAP,Snap Inc,"136,984","136,046","273,030",20,"13,652","6,849","6,802",,
VZ,Verizon Communications Inc,"194,569","57,558","252,127",20,"12,606","9,728","2,878",,
FCX,Freeport-McMoRan Inc,"137,698","94,121","231,819",20,"11,591","6,885","4,706",,
INTC,Intel Corp,"155,445","65,396","220,841",20,"11,042","7,772","3,270",,
SBUX,Starbucks Corp,"128,876","83,423","212,299",20,"10,615","6,444","4,171",,
XOM,Exxon Mobil Corp,"131,422","71,698","203,120",20,"10,156","6,571","3,585",,
VRX,Valeant Pharmaceuticals International Inc,"145,510","53,856","199,366",20,"9,968","7,276","2,693",,
GOOGL,Alphabet Inc,"113,987","81,781","195,768",20,"9,788","5,699","4,089",,
F,Ford Motor Co,"120,782","62,730","183,512",20,"9,176","6,039","3,137",,
CMG,Chipotle Mexican Grill Inc,"85,911","89,401","175,312",20,"8,766","4,296","4,470",,
COST,Costco Wholesale Corp,"83,543","81,507","165,050",20,"8,253","4,177","4,075",,
GS,Goldman Sachs Group Inc/The,"91,995","70,846","162,841",20,"8,142","4,600","3,542",,
GILD,Gilead Sciences Inc,"111,068","47,125","158,193",20,"7,910","5,553","2,356",,
WMT,Wal-Mart Stores Inc,"96,236","59,800","156,036",20,"7,802","4,812","2,990",,
BMY,Bristol-Myers Squibb Co,"112,989","40,347","153,336",20,"7,667","5,649","2,017",,
IBM,International Business Machines Corp,"77,334","74,816","152,150",20,"7,608","3,867","3,741",,
V,Visa Inc,"99,036","49,255","148,291",20,"7,415","4,952","2,463",,
QCOM,QUALCOMM Inc,"84,610","61,955","146,565",20,"7,328","4,231","3,098",,
CSCO,Cisco Systems Inc,"97,264","41,529","138,793",20,"6,940","4,863","2,076",,
ORCL,Oracle Corp,"115,786","22,730","138,516",20,"6,926","5,789","1,137",,
WFC,Wells Fargo & Co,"73,326","62,787","136,113",20,"6,806","3,666","3,139",,
AKS,AK Steel Holding Corp,"91,118","40,189","131,307",20,"6,565","4,556","2,009",,
CAT,Caterpillar Inc,"65,170","64,038","129,208",20,"6,460","3,259","3,202",,
GOOG,Alphabet Inc,"71,289","57,084","128,373",20,"6,419","3,564","2,854",,
CLF,Cleveland-Cliffs Inc,"99,564","25,928","125,492",20,"6,275","4,978","1,296",,
JD,JD.com Inc,"100,874","23,810","124,684",20,"6,234","5,044","1,191",,
EBAY,eBay Inc,"63,233","60,255","123,488",20,"6,174","3,162","3,013",,
CHK,Chesapeake Energy Corp,"85,150","35,579","120,729",20,"6,036","4,258","1,779",,
BIDU,Baidu Inc,"75,951","44,507","120,458",20,"6,023","3,798","2,225",,
BA,Boeing Co/The,"59,452","58,948","118,400",20,"5,920","2,973","2,947",,
MCD,McDonald's Corp,"63,423","51,747","115,170",20,"5,759","3,171","2,587",,
DAL,Delta Air Lines Inc,"67,236","46,826","114,062",20,"5,703","3,362","2,341",,
RAD,Rite Aid Corp,"70,743","40,455","111,198",20,"5,560","3,537","2,023",,
STX,Seagate Technology PLC,"42,929","67,363","110,292",20,"5,515","2,146","3,368",,
WDC,Western Digital Corp,"68,758","37,266","106,024",20,"5,301","3,438","1,863",,
AAL,American Airlines Group Inc,"76,991","28,933","105,924",20,"5,296","3,850","1,447",,
PYPL,PayPal Holdings Inc,"71,939","33,397","105,336",20,"5,267","3,597","1,670",,
ABX,Barrick Gold Corp,"76,425","27,292","103,717",20,"5,186","3,821","1,365",,
TGT,Target Corp,"70,458","32,843","103,301",20,"5,165","3,523","1,642",,
CELG,Celgene Corp,"75,526","27,711","103,237",20,"5,162","3,776","1,386",,
