Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
AAPL,Apple Inc,"1,668,604","882,168","2,550,772",23,"110,903","72,548","38,355",
BAC,Bank of America Corp,"855,132","370,828","1,225,960",23,"53,303","37,180","16,123",
BABA,Alibaba Group Holding Ltd,"620,949","272,677","893,626",23,"38,853","26,998","11,856",
FB,Facebook Inc,"487,665","322,159","809,824",23,"35,210","21,203","14,007",
TSLA,Tesla Inc,"340,405","294,448","634,853",23,"27,602","14,800","12,802",
NVDA,NVIDIA Corp,"341,135","263,005","604,140",23,"26,267","14,832","11,435",
AMZN,Amazon.com Inc,"279,374","286,090","565,464",23,"24,585","12,147","12,439",
AMD,Advanced Micro Devices Inc,"371,779","171,936","543,715",23,"23,640","16,164","7,475",
SNAP,Snap Inc,"276,062","208,679","484,741",23,"21,076","12,003","9,073",
MU,Micron Technology Inc,"333,485","144,318","477,803",23,"20,774","14,499","6,275",
NFLX,Netflix Inc,"193,150","193,435","386,585",23,"16,808","8,398","8,410",
C,Citigroup Inc,"220,810","137,157","357,967",23,"15,564","9,600","5,963",
TRQ,Turquoise Hill Resources Ltd,883,"335,000","335,883",23,"14,604",38,"14,565",
MSFT,Microsoft Corp,"195,601","132,606","328,207",23,"14,270","8,504","5,765",
TEVA,Teva Pharmaceutical Industries Ltd,"136,210","173,132","309,342",23,"13,450","5,922","7,527",
X,United States Steel Corp,"188,724","92,883","281,607",23,"12,244","8,205","4,038",
CSCO,Cisco Systems Inc,"185,929","85,287","271,216",23,"11,792","8,084","3,708",
VRX,Valeant Pharmaceuticals International Inc,"181,134","88,427","269,561",23,"11,720","7,875","3,845",
JPM,JPMorgan Chase & Co,"148,877","108,228","257,105",23,"11,178","6,473","4,706",
INTC,Intel Corp,"186,691","70,023","256,714",23,"11,161","8,117","3,044",
XOM,Exxon Mobil Corp,"135,532","94,636","230,168",23,"10,007","5,893","4,115",
T,AT&T Inc,"103,115","124,471","227,586",23,"9,895","4,483","5,412",
JD,JD.com Inc,"165,369","58,124","223,493",23,"9,717","7,190","2,527",
FCX,Freeport-McMoRan Inc,"156,461","66,821","223,282",23,"9,708","6,803","2,905",
GE,General Electric Co,"125,928","81,935","207,863",23,"9,038","5,475","3,562",
DIS,Walt Disney Co/The,"105,521","98,792","204,313",23,"8,883","4,588","4,295",
JCP,JC Penney Co Inc,"97,878","93,875","191,753",23,"8,337","4,256","4,082",
GILD,Gilead Sciences Inc,"115,280","65,488","180,768",23,"7,859","5,012","2,847",
TWTR,Twitter Inc,"140,780","39,671","180,451",23,"7,846","6,121","1,725",
WMT,Wal-Mart Stores Inc,"93,185","81,752","174,937",23,"7,606","4,052","3,554",
HD,Home Depot Inc/The,"89,979","81,919","171,898",23,"7,474","3,912","3,562",
GS,Goldman Sachs Group Inc/The,"102,952","64,318","167,270",23,"7,273","4,476","2,796",
TGT,Target Corp,"86,451","61,441","147,892",23,"6,430","3,759","2,671",
CHK,Chesapeake Energy Corp,"95,085","50,564","145,649",23,"6,333","4,134","2,198",
F,Ford Motor Co,"81,250","62,896","144,146",23,"6,267","3,533","2,735",
SBUX,Starbucks Corp,"89,054","50,044","139,098",23,"6,048","3,872","2,176",
COST,Costco Wholesale Corp,"76,562","60,675","137,237",23,"5,967","3,329","2,638",
CMG,Chipotle Mexican Grill Inc,"67,636","69,383","137,019",23,"5,957","2,941","3,017",
AMAT,Applied Materials Inc,"67,597","65,452","133,049",23,"5,785","2,939","2,846",
ABX,Barrick Gold Corp,"97,297","35,557","132,854",23,"5,776","4,230","1,546",
WFC,Wells Fargo & Co,"69,309","61,753","131,062",23,"5,698","3,013","2,685",
GOOGL,Alphabet Inc,"65,672","64,742","130,414",23,"5,670","2,855","2,815",
VZ,Verizon Communications Inc,"80,141","40,976","121,117",23,"5,266","3,484","1,782",
QCOM,QUALCOMM Inc,"63,645","48,635","112,280",23,"4,882","2,767","2,115",
BA,Boeing Co/The,"58,088","53,979","112,067",23,"4,872","2,526","2,347",
NKE,NIKE Inc,"48,443","63,456","111,899",23,"4,865","2,106","2,759",
ATVI,Activision Blizzard Inc,"59,523","51,117","110,640",23,"4,810","2,588","2,222",
AAL,American Airlines Group Inc,"71,978","38,219","110,197",23,"4,791","3,129","1,662",
CRM,salesforce.com Inc,"64,103","44,586","108,689",23,"4,726","2,787","1,939",
CAT,Caterpillar Inc,"53,107","55,150","108,257",23,"4,707","2,309","2,398",
IBM,International Business Machines Corp,"55,419","51,551","106,970",23,"4,651","2,410","2,241",
RAD,Rite Aid Corp,"95,537","11,416","106,953",23,"4,650","4,154",496,
GM,General Motors Co,"67,741","38,900","106,641",23,"4,637","2,945","1,691",
DAL,Delta Air Lines Inc,"68,153","37,409","105,562",23,"4,590","2,963","1,626",
V,Visa Inc,"64,717","40,041","104,758",23,"4,555","2,814","1,741",
BIDU,Baidu Inc,"62,468","39,624","102,092",23,"4,439","2,716","1,723",
WDC,Western Digital Corp,"57,230","44,574","101,804",23,"4,426","2,488","1,938",
M,Macy's Inc,"54,313","47,349","101,662",23,"4,420","2,361","2,059",
PCLN,Priceline Group Inc/The,"45,467","53,483","98,950",23,"4,302","1,977","2,325",
VALE,Vale SA,"64,871","31,882","96,753",23,"4,207","2,820","1,386",
LOW,Lowe's Cos Inc,"56,208","39,697","95,905",23,"4,170","2,444","1,726",
PFE,Pfizer Inc,"68,348","25,978","94,326",23,"4,101","2,972","1,129",
AKS,AK Steel Holding Corp,"64,378","27,925","92,303",23,"4,013","2,799","1,214",
WYNN,Wynn Resorts Ltd,"51,897","39,532","91,429",23,"3,975","2,256","1,719",
CELG,Celgene Corp,"54,096","31,742","85,838",23,"3,732","2,352","1,380",
JNJ,Johnson & Johnson,"59,205","25,539","84,744",23,"3,685","2,574","1,110",
GOOG,Alphabet Inc,"45,409","39,008","84,417",23,"3,670","1,974","1,696",
MCD,McDonald's Corp,"47,133","37,078","84,211",23,"3,661","2,049","1,612",
RIG,Transocean Ltd,"52,762","29,315","82,077",23,"3,569","2,294","1,275",
BBY,Best Buy Co Inc,"42,744","39,295","82,039",23,"3,567","1,858","1,708",
AVGO,Broadcom Ltd,"44,414","37,567","81,981",23,"3,564","1,931","1,633",
ORCL,Oracle Corp,"50,556","27,239","77,795",23,"3,382","2,198","1,184",
AAOI,Applied Optoelectronics Inc,"33,130","44,375","77,505",23,"3,370","1,440","1,929",
KO,Coca-Cola Co/The,"59,222","18,069","77,291",23,"3,360","2,575",786,
URBN,Urban Outfitters Inc,"15,243","61,869","77,112",23,"3,353",663,"2,690",
MDLZ,Mondelez International Inc,"30,298","46,201","76,499",23,"3,326","1,317","2,009",
CLF,Cleveland-Cliffs Inc,"57,312","18,552","75,864",23,"3,298","2,492",807,
LB,L Brands Inc,"27,789","47,078","74,867",23,"3,255","1,208","2,047",
HTZ,Hertz Global Holdings Inc,"26,888","46,795","73,683",23,"3,204","1,169","2,035",
MS,Morgan Stanley,"36,559","35,979","72,538",23,"3,154","1,590","1,564",
